Species,Site,Chl.a,Chl.c
Laminaria digitata,Mount Batten,1.724386199,0.150763642
Laminaria digitata,Mount Batten,2.056785777,0.124737994
Laminaria digitata,Mount Batten,1.656332352,0.118491996
Laminaria digitata,Mount Batten,1.094158536,0.076344416
Laminaria digitata,Mount Batten,1.261654265,0.072091366
Laminaria digitata,Mount Batten,1.766664976,0.164630481
Laminaria digitata,Mount Batten,1.02031245,0.067373583
Laminaria digitata,Mount Batten,1.196169447,0.100528956
Laminaria digitata,Mount Batten,1.248641021,0.148407317
Laminaria digitata,Mount Batten,1.215111961,0.103452123
Laminaria digitata,Mount Batten,1.127583988,0.11335065
Laminaria digitata,Mount Batten,2.130631067,0.191655254
Laminaria digitata,Mount Batten,2.290604506,0.130081903
Laminaria digitata,Mount Batten,1.271839294,0.100579903
Laminaria digitata,Mount Batten,1.27820874,0.104092047
Laminaria digitata,Mount Batten,1.336373516,0.099823009
Laminaria hyperborea,Mount Batten,1.4558019,0.134146521
Laminaria hyperborea,Mount Batten,1.341468397,0.096133888
Laminaria hyperborea,Mount Batten,1.128572924,0.08211657
Laminaria hyperborea,Mount Batten,1.219968878,0.103086164
Laminaria hyperborea,Mount Batten,1.225091037,0.105696948
Laminaria hyperborea,Mount Batten,1.019479745,0.081141583
Laminaria hyperborea,Mount Batten,0.95102829,0.066317264
Laminaria hyperborea,Mount Batten,0.890139648,0.096329684
Laminaria hyperborea,Mount Batten,0.912577337,0.063212054
Laminaria hyperborea,Mount Batten,1.020030592,0.065808304
Laminaria hyperborea,Mount Batten,0.997401021,0.084495912
Laminaria hyperborea,Mount Batten,0.931141749,0.092773922
Laminaria hyperborea,Mount Batten,1.776703945,0.106206555
Laminaria hyperborea,Mount Batten,1.010634607,0.116176562
Laminaria ochroleuca,Mount Batten,0.838723501,0.066107095
Laminaria ochroleuca,Mount Batten,1.375661451,0.144884066
Laminaria ochroleuca,Mount Batten,1.363911553,0.166531042
Laminaria ochroleuca,Mount Batten,1.205700904,0.128757269
Laminaria ochroleuca,Mount Batten,1.071234009,0.121926178
Laminaria ochroleuca,Mount Batten,1.116662338,0.137438999
Laminaria ochroleuca,Mount Batten,1.043706992,0.093121117
Laminaria ochroleuca,Mount Batten,1.07989241,0.102046499
Laminaria ochroleuca,Mount Batten,1.023487599,0.091548125
Laminaria ochroleuca,Mount Batten,0.913653788,0.079433086
Laminaria ochroleuca,Mount Batten,0.901271971,0.075463138
Laminaria ochroleuca,Mount Batten,0.952523862,0.076344916
Laminaria ochroleuca,Mount Batten,0.993028289,0.0847476
Laminaria ochroleuca,Mount Batten,1.151826479,0.088005436
Laminaria ochroleuca,Mount Batten,0.980574497,0.085553928
Laminaria ochroleuca,Mount Batten,1.08095676,0.093976673
Laminaria ochroleuca,Mount Batten,1.061002581,0.108581043
Laminaria ochroleuca,Mount Batten,1.129479936,0.087048591
Laminaria digitata,West Hoe,0.943879819,0.079648476
Laminaria digitata,West Hoe,1.070638939,0.083804518
Laminaria digitata,West Hoe,0.837028121,0.077874871
Laminaria digitata,West Hoe,1.346475518,0.131411156
Laminaria digitata,West Hoe,1.113019164,0.123633393
Laminaria digitata,West Hoe,1.291069736,0.126315179
Laminaria digitata,West Hoe,1.159399186,0.112362316
Laminaria digitata,West Hoe,1.108096223,0.109825889
Laminaria digitata,West Hoe,0.935531467,0.096367973
Laminaria hyperborea,West Hoe,0.667704629,0.030184043
Laminaria hyperborea,West Hoe,1.168266832,0.096299998
Laminaria hyperborea,West Hoe,0.5404961,0.048319077
Laminaria hyperborea,West Hoe,1.293421495,0.1242711
Laminaria hyperborea,West Hoe,1.084280712,0.093378456
Laminaria hyperborea,West Hoe,1.574627054,0.201249933
Laminaria hyperborea,West Hoe,1.250283025,0.131228965
Laminaria hyperborea,West Hoe,0.788255351,0.048096445
Laminaria hyperborea,West Hoe,0.858728534,0.056659519
Laminaria ochroleuca,West Hoe,0.35088274,0.04034865
Laminaria ochroleuca,West Hoe,0.432925235,0.058465485
Laminaria ochroleuca,West Hoe,0.975002682,0.147911217
Laminaria ochroleuca,West Hoe,0.437936149,0.057583339
Laminaria ochroleuca,West Hoe,0.667318832,0.080774154
Laminaria ochroleuca,West Hoe,0.423007678,0.052018316
Laminaria ochroleuca,West Hoe,0.354325709,0.047425167
Laminaria ochroleuca,West Hoe,0.600052613,0.074316682
Laminaria ochroleuca,West Hoe,0.873536482,0.120508177
Laminaria digitata,West Hoe,0.989029172,0.072764531
Laminaria digitata,West Hoe,1.159951142,0.09937478
Laminaria digitata,West Hoe,1.304382627,0.110015268
Laminaria digitata,West Hoe,0.861105751,0.076022457
Laminaria digitata,West Hoe,0.969377106,0.073567483
Laminaria digitata,West Hoe,1.158993919,0.10857388
Laminaria digitata,West Hoe,1.748536834,0.139806463
Laminaria digitata,West Hoe,1.576892721,0.124256688
Laminaria digitata,West Hoe,1.003190169,0.080029889
Laminaria hyperborea,West Hoe,1.026316148,0.119702768
Laminaria hyperborea,West Hoe,1.355817929,0.109965297
Laminaria hyperborea,West Hoe,0.801283418,0.085811282
Laminaria hyperborea,West Hoe,1.520034869,0.15141588
Laminaria hyperborea,West Hoe,0.721004288,0.053881248
Laminaria hyperborea,West Hoe,1.434934873,0.172316094
Laminaria hyperborea,West Hoe,0.912694529,0.087035624
Laminaria hyperborea,West Hoe,1.763848221,0.178525595
Laminaria hyperborea,West Hoe,1.330435037,0.099547681
Laminaria ochroleuca,West Hoe,0.764593374,0.087508647
Laminaria ochroleuca,West Hoe,0.893561284,0.099751836
Laminaria ochroleuca,West Hoe,1.030223109,0.114630175
Laminaria ochroleuca,West Hoe,0.849034405,0.112350767
Laminaria ochroleuca,West Hoe,0.824990819,0.110647815
Laminaria ochroleuca,West Hoe,1.043527476,0.11641768
Laminaria ochroleuca,West Hoe,0.705168118,0.081347577
Laminaria ochroleuca,West Hoe,0.278463739,0.031874468
Laminaria ochroleuca,West Hoe,1.152265655,0.15611517
Laminaria digitata,West Hoe,1.035856687,0.091187796
Laminaria digitata,West Hoe,1.056718345,0.105879936
Laminaria digitata,West Hoe,1.003636594,0.081678608
Laminaria digitata,West Hoe,1.100463924,0.109774366
Laminaria digitata,West Hoe,1.099502585,0.104761561
Laminaria digitata,West Hoe,1.257815576,0.11976114
Laminaria digitata,West Hoe,1.037649448,0.099004011
Laminaria digitata,West Hoe,0.84238342,0.055198892
Laminaria digitata,West Hoe,0.965495859,0.082121023
Laminaria hyperborea,West Hoe,1.038963855,0.12176977
Laminaria hyperborea,West Hoe,1.048799119,0.129565786
Laminaria hyperborea,West Hoe,0.774653702,0.061335498
Laminaria hyperborea,West Hoe,0.650940105,0.046735266
Laminaria hyperborea,West Hoe,1.171099786,0.11452279
Laminaria hyperborea,West Hoe,0.900888368,0.095982987
Laminaria hyperborea,West Hoe,1.049607738,0.088562673
Laminaria hyperborea,West Hoe,1.047193823,0.098114268
Laminaria hyperborea,West Hoe,1.104948053,0.094199248
Laminaria ochroleuca,West Hoe,0.416482893,0.03213441
Laminaria ochroleuca,West Hoe,0.51657235,0.055749213
Laminaria ochroleuca,West Hoe,0.3428733,0.02983545
Laminaria ochroleuca,West Hoe,0.512414731,0.05280474
Laminaria ochroleuca,West Hoe,0.265812367,0.021867655
Laminaria ochroleuca,West Hoe,0.455599073,0.040814477
Laminaria ochroleuca,West Hoe,0.487948139,0.05190995
Laminaria ochroleuca,West Hoe,0.669868285,0.071028285
Laminaria ochroleuca,West Hoe,0.848353268,0.077922381
Laminaria digitata,Walter Rocks,1.340830242,0.055528216
Laminaria digitata,Walter Rocks,1.244619314,0.053243866
Laminaria digitata,Walter Rocks,1.140909854,0.039947764
Laminaria digitata,Walter Rocks,1.014626212,0.012888876
Laminaria digitata,Walter Rocks,1.223360741,0.049186925
Laminaria digitata,Walter Rocks,1.251482456,0.061867536
Laminaria digitata,Walter Rocks,1.264011453,0.047027454
Laminaria digitata,Walter Rocks,1.292196229,0.025296726
Laminaria digitata,Walter Rocks,1.36289764,0.054005201
Laminaria digitata,Walter Rocks,1.549072847,0.068960567
Laminaria digitata,Walter Rocks,1.452118736,0.070306246
Laminaria digitata,Walter Rocks,1.35942389,0.042443504
Laminaria digitata,Walter Rocks,1.548253224,0.031665517
Laminaria digitata,Walter Rocks,1.035047662,0.011220833
Laminaria digitata,Walter Rocks,0.955609018,0.032633094
Laminaria digitata,Walter Rocks,1.095796482,0.044182661
Laminaria digitata,Walter Rocks,1.129928538,0.001975748
Laminaria digitata,Walter Rocks,0.589266255,0.025712307
Laminaria digitata,Walter Rocks,0.506576762,0.005483671
Laminaria digitata,Walter Rocks,0.518728645,0.011875015
Laminaria digitata,Walter Rocks,0.568713335,0.014727443
Laminaria digitata,Walter Rocks,0.463899706,0.013239654
Laminaria digitata,Walter Rocks,0.544079254,0.003547301
Laminaria digitata,Walter Rocks,0.52228434,0.022097552
Laminaria digitata,Walter Rocks,1.278760043,0.056400576
Laminaria hyperborea,Walter Rocks,0.777946724,0.023563726
Laminaria hyperborea,Walter Rocks,0.935698966,0.039062329
Laminaria hyperborea,Walter Rocks,1.03868281,0.037633272
Laminaria hyperborea,Walter Rocks,0.934929815,0.024765348
Laminaria hyperborea,Walter Rocks,1.130239242,0.042300501
Laminaria hyperborea,Walter Rocks,1.07567762,0.035301378
Laminaria hyperborea,Walter Rocks,0.991094116,0.031574312
Laminaria hyperborea,Walter Rocks,0.803488855,0.022258385
Laminaria hyperborea,Walter Rocks,0.887357051,0.02988922
Laminaria hyperborea,Walter Rocks,1.153888944,0.056849644
Laminaria hyperborea,Walter Rocks,0.546537941,0.01526294
Laminaria hyperborea,Walter Rocks,0.657899432,0.032586582
Laminaria hyperborea,Walter Rocks,0.793126253,0.03476271
Laminaria hyperborea,Walter Rocks,0.641478282,0.031878169
Laminaria hyperborea,Walter Rocks,0.545805106,0.028486692
Laminaria hyperborea,Walter Rocks,0.564710607,0.031911399
Laminaria hyperborea,Walter Rocks,0.660121153,0.025430389
Laminaria hyperborea,Walter Rocks,0.300637679,0.009393773
Laminaria hyperborea,Walter Rocks,0.285198541,0
Laminaria hyperborea,Walter Rocks,0.294699491,0.004719619
Laminaria hyperborea,Walter Rocks,0.345881311,0.007006028
Laminaria hyperborea,Walter Rocks,0.468024491,0.010614486
Laminaria hyperborea,Walter Rocks,0.266335327,0.003338704
Laminaria hyperborea,Walter Rocks,0.248043048,0.000553846
Laminaria hyperborea,Walter Rocks,0.435756327,0.023695212
Saccharina latissima,Walter Rocks,0.56672329,0.093994855
Saccharina latissima,Walter Rocks,0.51961923,0.074574007
Saccharina latissima,Walter Rocks,0.613246179,0.06935689
Saccharina latissima,Walter Rocks,0.687083524,0.072269133
Saccharina latissima,Walter Rocks,0.450264242,0.069001414
Saccharina latissima,Walter Rocks,0.674102057,0.07629395
Saccharina latissima,Walter Rocks,0.752911613,0.074013002
Saccharina latissima,Walter Rocks,0.526626204,0.085269563
Saccharina latissima,Walter Rocks,0.89531326,0.12159862
Saccharina latissima,Walter Rocks,0.497288563,0.075167302
Saccharina latissima,Walter Rocks,0.843724872,0.045671983
Saccharina latissima,Walter Rocks,0.948136375,0.042846162
Saccharina latissima,Walter Rocks,0.699785886,0.040277575
Saccharina latissima,Walter Rocks,0.367518177,0.043489686
Saccharina latissima,Walter Rocks,0.826611913,0.050755717
Saccharina latissima,Walter Rocks,0.864496094,0.067810254
Saccharina latissima,Walter Rocks,0.845196023,0.051580107
Saccharina latissima,Walter Rocks,0.457883508,0.013175645
Saccharina latissima,Walter Rocks,0.612020599,0.037282499
Saccharina latissima,Walter Rocks,0.72882711,0.013387334
Saccharina latissima,Walter Rocks,0.529662001,0.021377413
Saccharina latissima,Walter Rocks,0.752228829,0.046965842
Saccharina latissima,Walter Rocks,0.593434398,0.014636278
Saccharina latissima,Walter Rocks,0.549427091,0.031938765
Saccharina latissima,Walter Rocks,0.527368252,0.026811178
Saccorhiza polyschides,Walter Rocks,1.988067739,0.244748967
Saccorhiza polyschides,Walter Rocks,2.675593656,0.205148931
Saccorhiza polyschides,Walter Rocks,2.540969366,0.25179614
Saccorhiza polyschides,Walter Rocks,2.742272472,0.178273628
Saccorhiza polyschides,Walter Rocks,2.922205562,0.161294265
Saccorhiza polyschides,Walter Rocks,2.778674264,0.207133079
Saccorhiza polyschides,Walter Rocks,2.162612011,0.160520926
Saccorhiza polyschides,Walter Rocks,1.779335497,0.123390782
Saccorhiza polyschides,Walter Rocks,3.019062471,0.222380522
Saccorhiza polyschides,Walter Rocks,2.593595619,0.208706925
Saccorhiza polyschides,Walter Rocks,1.211064968,0.072182679
Saccorhiza polyschides,Walter Rocks,0.998208182,0.054883972
Saccorhiza polyschides,Walter Rocks,1.297058045,0.080512728
Saccorhiza polyschides,Walter Rocks,0.470023846,0.032633291
Saccorhiza polyschides,Walter Rocks,1.356717859,0.089235298
Saccorhiza polyschides,Walter Rocks,1.52550783,0.120979495
Saccorhiza polyschides,Walter Rocks,1.414772849,0.08854783
Saccorhiza polyschides,Walter Rocks,1.046389256,0
Saccorhiza polyschides,Walter Rocks,1.544160598,0.04493943
Saccorhiza polyschides,Walter Rocks,0.846102301,0.029296613
Saccorhiza polyschides,Walter Rocks,1.421969395,0.002340281
Saccorhiza polyschides,Walter Rocks,0.610018332,0.025687467
Saccorhiza polyschides,Walter Rocks,0.927481098,0.058241817
Saccorhiza polyschides,Walter Rocks,0.913017028,0.057292335
Saccorhiza polyschides,Walter Rocks,0.36550804,0.009094558
Laminaria digitata,Walter Rocks,0.70858388,0.019104754
Laminaria digitata,Walter Rocks,1.193617347,0.050139802
Laminaria digitata,Walter Rocks,0.932051753,0.035864706
Laminaria hyperborea,Walter Rocks,0.538052698,0.025976802
Laminaria hyperborea,Walter Rocks,0.655153425,0.031665377
Laminaria hyperborea,Walter Rocks,0.60987855,0.008245652
Saccharina latissima,Walter Rocks,1.512796893,0.096104746
Saccharina latissima,Walter Rocks,2.40610566,0.143208862
Saccharina latissima,Walter Rocks,1.78039474,0.105042375
Saccorhiza polyschides,Walter Rocks,1.04761003,0.058746804
Saccorhiza polyschides,Walter Rocks,0.866332733,0.047791091
Saccorhiza polyschides,Walter Rocks,1.714684596,0.100945671
Laminaria digitata,Walter Rocks,0.808261104,0.027961438
Laminaria digitata,Walter Rocks,0.691145739,0.034471223
Laminaria digitata,Walter Rocks,0.899283784,0.039609491
Laminaria hyperborea,Walter Rocks,0.471674313,0.029690145
Laminaria hyperborea,Walter Rocks,0.461941876,0.025110837
Laminaria hyperborea,Walter Rocks,0.44885737,0.025395643
Saccharina latissima,Walter Rocks,1.328395146,0.069457293
Saccharina latissima,Walter Rocks,0.946673449,0.05637552
Saccharina latissima,Walter Rocks,0.89314855,0.056597699
Saccorhiza polyschides,Walter Rocks,0.883732389,0.001013633
Saccorhiza polyschides,Walter Rocks,0.563284394,0.021434303
Laminaria digitata,Walter Rocks,0.833603234,0.027538933
Laminaria digitata,Walter Rocks,0.57757747,0.020158382
Laminaria hyperborea,Walter Rocks,0.606081251,0.040600155
Laminaria hyperborea,Walter Rocks,0.554761103,0.032717135
Saccharina latissima,Walter Rocks,1.618850694,0.112428673
Saccorhiza polyschides,Walter Rocks,0.795034078,0.048732541
Saccorhiza polyschides,Walter Rocks,0.46811069,0.019325111
Laminaria hyperborea,Walter Rocks,0.527618778,0.027333871
Laminaria hyperborea,Walter Rocks,0.541959928,0.034610084
Laminaria digitata,Walter Rocks,0.811665827,0.03474233
Saccharina latissima,Walter Rocks,1.055115145,0.054606834
Saccharina latissima,Walter Rocks,0.92352245,0.05257795
Laminaria digitata,Walter Rocks,0.908796619,0.026653569
Laminaria digitata,Walter Rocks,0.880250624,0.032291
Laminaria digitata,Walter Rocks,0.813065406,0.042423367
Laminaria hyperborea,Walter Rocks,0.540347817,0.014022342
Laminaria hyperborea,Walter Rocks,0.459577933,0.021850064
Saccharina latissima,Walter Rocks,1.334173846,0.103580047
Saccorhiza polyschides,Walter Rocks,0.667201334,0.03461701
Laminaria digitata,Walter Rocks,1.307556319,0.045957556
