Season,Day,Cover
Spring,7,1.2
Spring,21,65.9
Spring,28,73.7
Spring,35,100.0
Spring,7,1.6
Spring,14,9.9
Spring,21,36.4
Spring,27,70.2
Spring,7,0.4
Spring,14,8.8
Spring,21,54.6
Spring,28,68.6
Spring,34,91.9
Spring,7,0.5
Spring,21,54.1
Spring,28,96.7
Spring,7,4.1
Spring,14,3.8
Spring,21,80.6
Spring,27,98.7
Spring,7,1.9
Spring,14,4.6
Spring,21,63.6
Spring,28,84.7
Spring,34,93.4
Spring,7,0.8
Spring,14,9.3
Spring,21,29.5
Spring,27,96.0
Spring,7,0.5
Spring,21,35.1
Spring,28,82.4
Spring,7,0.2
Spring,14,6.0
Spring,21,35.5
Spring,27,97.5
Spring,7,0.7
Spring,14,10.1
Spring,17,27.8
Spring,7,0.5
Spring,14,16.7
Spring,7,0.3
Spring,14,10.7
Spring,21,67.5
Spring,24,76.3
Spring,7,0.9
Spring,21,33.4
Spring,28,91.1
Spring,14,21.2
Spring,21,93.6
Spring,28,98.4
Spring,14,22.9
Spring,21,57.3
Spring,24,97.4
Spring,14,3.5
Spring,21,48.1
Spring,28,83.8
Spring,34,97.7
Spring,14,11.8
Spring,21,33.5
Spring,24,91.6
Spring,21,67.4
Spring,24,76.7
Spring,7,1.0
Spring,27,85.6
Spring,14,12.0
Spring,21,86.8
Spring,27,95.0
Spring,21,13.0
Spring,28,99.3
Summer,7,1.08
Summer,14,1.36
Summer,21,55.11
Summer,28,89.20
Summer,7,0.39
Summer,14,3.93
Summer,21,66.84
Summer,28,98.90
Summer,7,0.44
Summer,14,9.21
Summer,21,57.36
Summer,27,98.10
Summer,7,0.99
Summer,14,8.50
Summer,21,44.78
Summer,28,98.33
Summer,7,0.64
Summer,14,20.12
Summer,21,34.53
Summer,28,99.45
Summer,7,0.54
Summer,14,6.84
Summer,21,48.23
Summer,7,3.54
Summer,14,5.29
Summer,21,39.49
Summer,23,72.06
Summer,7,1.34
Summer,14,5.80
Summer,21,57.92
Summer,7,0.79
Summer,14,3.45
Summer,21,48.94
Summer,27,100.00
Summer,7,0.84
Summer,14,14.04
Summer,21,47.34
Summer,27,83.06
Summer,7,0.66
Summer,14,2.54
Summer,21,74.32
Summer,27,91.08
Summer,7,0.27
Summer,14,6.58
Summer,21,67.25
Summer,7,1.50
Summer,14,3.56
Summer,21,42.27
Summer,27,100.00
Summer,7,0.30
Summer,14,7.62
Summer,21,25.06
Summer,27,95.23
Summer,7,0.08
Summer,14,11.99
Summer,21,44.50
Summer,23,46.78
Summer,7,0.74
Summer,21,40.71
Summer,28,71.50
Summer,7,3.88
Summer,14,27.69
Summer,21,75.71
Summer,28,100.00
Summer,7,2.78
Summer,14,9.90
Summer,21,78.16
Summer,25,93.21
Summer,7,0.38
Summer,14,6.36
Summer,21,39.08
Summer,24,80.89
Summer,7,0.87
Summer,14,4.23
Summer,17,75.80
Summer,7,0.61
Summer,14,2.60
Summer,21,48.16
Summer,27,97.95
Summer,7,0.92
Summer,14,1.99
Summer,21,44.18
Summer,28,84.42
Summer,7,1.93
Summer,14,12.41
Summer,21,66.66
Summer,28,97.93
Summer,7,0.88
Summer,14,5.38
Summer,21,63.08
Summer,7,1.11
Summer,21,42.08
Summer,23,63.12
Summer,7,1.49
Summer,14,12.92
Summer,21,46.83
Summer,23,79.95
Summer,7,0.44
Summer,14,7.08
Summer,21,47.54
Summer,28,100.00
Summer,7,0.20
Summer,11,6.45
Summer,7,0.14
Summer,14,7.65
Summer,21,30.67
Autumn,7,0.463155847
Autumn,14,2.94982613
Autumn,28,19.36423471
Autumn,35,21.47680662
Autumn,39,62.87991313
Autumn,7,0.331831805
Autumn,14,2.639186428
Autumn,21,24.63942171
Autumn,35,61.9916603
Autumn,38,71.72736441
Autumn,7,0.609463358
Autumn,14,2.94171899
Autumn,21,19.99502485
Autumn,28,24.93427161
Autumn,35,66.28086386
Autumn,39,85.56948258
Autumn,7,0.164420162
Autumn,14,2.384878752
Autumn,21,19.80231349
Autumn,28,31.0309818
Autumn,35,49.23730148
Autumn,42,97.97423004
Autumn,52,100
Autumn,7,0.162597915
Autumn,14,3.409247814
Autumn,21,20.21136226
Autumn,28,26.5858138
Autumn,35,82.12087069
Autumn,41,94.68342022
Autumn,7,0.681770515
Autumn,14,11.1015544
Autumn,21,13.02170824
Autumn,28,54.8234921
Autumn,42,78.69228305
Autumn,45,80.67887955
Autumn,7,2.120381185
Autumn,14,5.582060217
Autumn,21,10.70325326
Autumn,28,31.34193198
Autumn,35,41.43592832
Autumn,42,78.49649119
Autumn,52,99
Autumn,7,0.202040879
Autumn,14,6.898657778
Autumn,21,36.14130493
Autumn,28,48.24814534
Autumn,38,87.66335962
Autumn,7,0.133623838
Autumn,14,5.417678948
Autumn,35,29.23786926
Autumn,39,69.66609501
Autumn,14,6.460502348
Autumn,21,32.82073012
Autumn,42,90.55668751
Autumn,7,0.429897185
Autumn,14,4.62293631
Autumn,21,25.89492983
Autumn,28,60.06092127
Autumn,35,82.49268385
Autumn,42,97.42130753
Autumn,53,100
Autumn,7,0.351235195
Autumn,14,4.681654038
Autumn,21,18.81006231
Autumn,28,59.42561295
Autumn,42,90.93793872
Autumn,50,100
Autumn,7,0.459058088
Autumn,14,8.672791404
Autumn,21,32.13262105
Autumn,28,58.869218
Autumn,35,82.31608932
Autumn,41,93.10390036
Autumn,7,0.160746041
Autumn,14,4.983796614
Autumn,21,19.03308076
Autumn,35,55.0259151
Autumn,39,88.97611744
Autumn,7,1.758592992
Autumn,14,2.46026208
Autumn,35,69.49883407
Autumn,38,91.96426326
Autumn,7,0.750531923
Autumn,14,12.26441521
Autumn,21,32.65118579
Autumn,28,74.54058155
Autumn,35,84.53296968
Autumn,43,100
Autumn,7,1.67551752
Autumn,14,12.17586301
Autumn,21,12.91450415
Autumn,28,48.29991642
Autumn,35,59.91447075
Autumn,41,88.50196813
Autumn,7,1.150401453
Autumn,14,5.953434781
Autumn,21,20.25027496
Autumn,28,31.60661197
Autumn,38,61.05901395
Autumn,7,0.203362379
Autumn,14,6.769789535
Autumn,21,28.74290117
Autumn,28,60.27095412
Autumn,35,78.51715516
Autumn,42,85.3369794
Autumn,7,0.770258774
Autumn,14,6.613457
Autumn,21,12.04862295
Autumn,28,63.70498408
Autumn,37,95.65714246
Autumn,7,0.459780152
Autumn,14,6.918234081
Autumn,21,43.85323701
Autumn,28,51.39325104
Autumn,42,79.8039136
Autumn,53,99
Autumn,7,0.147606527
Autumn,14,8.626983234
Autumn,21,31.72198962
Autumn,35,47.13214595
Autumn,39,61.17135741
Autumn,7,0.3446217
Autumn,14,6.138459912
Autumn,21,17.12073924
Autumn,28,53.11947176
Autumn,40,81.65668264
Autumn,7,0.795113613
Autumn,14,7.501089414
Autumn,21,14.09046695
Autumn,28,31.9300412
Autumn,35,86.19680541
Autumn,37,96.41233954
Autumn,7,0.181341605
Autumn,14,6.156015274
Autumn,21,34.55176362
Autumn,28,27.75240624
Autumn,36,90.91702689
Autumn,7,0.20716148
Autumn,14,2.155695971
Autumn,21,32.41304873
Autumn,28,57.18223698
Autumn,35,62.45824716
Autumn,38,81.21667893
Autumn,7,4.482623241
Autumn,14,8.31344097
Autumn,21,36.99811683
Autumn,28,51.33374473
Autumn,40,98.45086118
Autumn,7,0.195659403
Autumn,14,8.235099221
Autumn,21,15.99534804
Autumn,28,51.29204084
Autumn,39,79.0242817
Autumn,7,0.060807912
Autumn,14,4.829273015
Autumn,21,25.41724993
Autumn,28,59.40836236
Autumn,29,67.92456793
Autumn,7,0.143374758
Autumn,14,3.395102916
Autumn,21,15.12896562
Autumn,28,42.73674987
Autumn,34,75.43930866
Autumn,7,0.473699911
Autumn,14,4.255644049
Autumn,21,33.92244724
Autumn,28,39.13749193
Autumn,41,91.31353864
Autumn,7,0.091822783
Autumn,14,4.390958032
Autumn,21,14.81488982
Autumn,40,84.90706695
Winter,7,1.323539049
Winter,14,4.107033206
Winter,21,8.996071061
Winter,26,26.04327308
Winter,7,0.331004162
Winter,21,14.1736863
Winter,27,21.94229304
Winter,7,0.821476534
Winter,14,1.613529421
Winter,21,20.38965549
Winter,33,51.64792316
Winter,7,0.740170483
Winter,14,4.804806757
Winter,21,15.56099688
Winter,7,0.51097984
Winter,14,15.41186611
Winter,21,30.36773413
Winter,33,69.30473869
Winter,7,0.882448565
Winter,14,3.922220684
Winter,21,39.25422094
Winter,24,40.56409967
Winter,7,0.918895079
Winter,14,3.166563622
Winter,21,28.20422906
Winter,28,49.97411338
Winter,33,90.90088039
Winter,7,0.422649061
Winter,14,3.047634637
Winter,21,25.72753109
Winter,7,0.749122964
Winter,14,5.582795256
Winter,21,19.24333714
Winter,30,52.57615383
Winter,7,0.384317914
Winter,14,3.349345811
Winter,22,17.53222653
Winter,7,0.276098416
Winter,14,3.985925791
Winter,21,28.55990532
Winter,22,14.70871574
Winter,7,0.531915246
Winter,14,4.802546721
Winter,21,31.12154129
Winter,24,61.84712908
Winter,7,0.540197542
Winter,14,7.442501101
Winter,33,73.61911227
Winter,7,0.538662669
Winter,14,2.403571023
Winter,21,25.12930072
Winter,26,63.36404301
Winter,7,0.090436907
Winter,14,1.286407261
Winter,21,9.580359439
Winter,7,0.594809857
Winter,14,5.706245573
Winter,21,31.67042112
Winter,28,69.10554287
Winter,33,70.6795766
Winter,7,0.531693724
Winter,14,3.467842725
Winter,21,23.63624495
Winter,23,28.86795751
Winter,7,0.498323832
Winter,14,6.091085975
Winter,21,29.13277881
Winter,28,65.95866773
Winter,34,72.54149253
Winter,7,0.382012071
Winter,14,4.780977448
Winter,21,47.47241191
Winter,28,88.8036595
Winter,33,90.94748856
Winter,7,0.873041512
Winter,14,3.142355221
Winter,21,6.035360342
Winter,23,11.01414307
Winter,7,0.420920344
Winter,14,1.345356831
Winter,21,30.03874841
Winter,28,54.34799285
Winter,34,98.63324182
Winter,7,0.652220493
Winter,14,6.109238483
Winter,21,42.40312013
Winter,33,77.52568234
Winter,7,0.624190962
Winter,14,5.2255984
Winter,21,15.87948998
Winter,28,67.47345751
Winter,7,0.317004507
Winter,34,7.858823105
Winter,14,3.383184055
Winter,22,0.207866605